,item_id,año
88310,761140.0,2018
88311,643980.0,2018
88312,670290.0,2017
88313,767400.0,2017
88315,772540.0,2018
88316,774276.0,2018
88317,774277.0,2018
88318,774278.0,2018
88319,768800.0,2018
88322,770380.0,2018
88323,768880.0,2018
88324,765320.0,2018
88325,773650.0,2018
88326,774271.0,2018
88327,773690.0,2018
88328,774279.0,2018
88331,768060.0,2018
88333,775880.0,2017
88334,775881.0,2017
88335,653960.0,2018
88336,777910.0,2018
88337,282010.0,1997
88338,70.0,1998
88339,752360.0,2016
88341,520680.0,2018
88342,690410.0,2018
88343,766850.0,2018
88344,413120.0,2018
88345,773120.0,2017
88347,754360.0,2018
88348,716110.0,2018
88349,1640.0,2006
88350,1630.0,2006
88351,2400.0,2006
88353,381620.0,2017
88356,759920.0,2017
88357,659780.0,2018
88358,603280.0,2017
88359,753110.0,2017
88360,753100.0,2017
88362,764280.0,2017
88364,758550.0,2017
88365,3800.0,2005
88366,1520.0,2006
88367,2420.0,2006
88368,4000.0,2006
88369,4230.0,2006
88370,4900.0,2006
88371,2520.0,2006
88372,6200.0,2003
88373,6210.0,2006
88374,6300.0,2006
88375,2990.0,2006
88376,6220.0,2005
88377,6510.0,2007
88378,3980.0,2006
88379,1700.0,2002
88380,6310.0,2000
88381,3990.0,2006
88382,7610.0,2003
88383,7600.0,2006
88385,7620.0,1998
88386,2540.0,2007
88387,7650.0,1995
88388,8000.0,2007
88389,6550.0,2006
88390,8200.0,2006
88391,2290.0,1996
88392,2570.0,2007
88393,8210.0,2006
88394,2280.0,1995
88395,9160.0,1995
88396,2300.0,1994
88397,2270.0,1994
88398,9010.0,2001
88399,9040.0,1997
88400,9000.0,1993
88401,3810.0,2003
88402,9030.0,2007
88403,2310.0,2007
88404,3230.0,2007
88405,9310.0,2006
88406,7670.0,2007
88407,4570.0,2006
88408,4580.0,2006
88409,4760.0,2004
88410,4770.0,2006
88411,50970.0,2007
88412,12170.0,1998
88413,12180.0,1999
88414,12130.0,2004
88415,12160.0,2003
88416,12150.0,2003
88417,7000.0,2006
88418,12140.0,2001
88419,17480.0,2008
88420,12500.0,2007
88421,12310.0,2007
88422,12510.0,2007
88423,12530.0,2007
88424,12520.0,2007
88425,8100.0,2008
88426,2780.0,2007
88427,9730.0,2006
88428,9710.0,2006
88429,9800.0,2007
88430,9760.0,2006
88431,2700.0,2006
88432,2710.0,2005
88433,13200.0,2003
88434,13250.0,1998
88435,13000.0,2008
88436,13560.0,2003
88437,13520.0,2004
88438,13240.0,2000
88439,13540.0,2006
88440,15210.0,2005
88441,16180.0,2008
88442,3520.0,2008
88443,15970.0,2008
88444,15950.0,2008
88445,15960.0,2008
88446,15900.0,2008
88447,15910.0,2005
88448,15930.0,2007
88449,15160.0,2007
88450,15920.0,2005
88451,15080.0,2007
88452,15200.0,2007
88453,15320.0,2006
88454,15240.0,2008
88455,8310.0,2005
88456,12600.0,2005
88457,8320.0,2006
88458,12590.0,2008
88459,12580.0,2008
88460,12560.0,2007
88461,12570.0,2008
88462,12540.0,2007
88463,11050.0,2008
88464,10520.0,2008
88465,11040.0,2008
88466,19500.0,2008
88467,11260.0,2007
88468,19200.0,2008
88469,12360.0,2008
88470,15710.0,1998
88471,15700.0,1997
88472,8660.0,2008
88473,7770.0,2001
88474,7660.0,1997
88475,7760.0,1993
88476,20510.0,2008
88477,17330.0,2008
88478,17300.0,2007
88479,7730.0,1998
88480,20900.0,2008
88481,1530.0,2008
88482,8690.0,2008
88483,17120.0,2008
88484,16810.0,2008
88485,19830.0,2003
88486,21000.0,2008
88487,4460.0,2008
88488,17140.0,2008
88489,15390.0,2008
88490,21300.0,2008
88491,3050.0,2006
88492,15380.0,2006
88493,19800.0,2005
88494,15370.0,2007
88495,19930.0,2008
88496,15350.0,2007
88497,19810.0,2002
88498,3540.0,2008
88499,22000.0,2008
88500,2820.0,2008
88501,1230.0,2008
88502,18300.0,2008
88503,20200.0,2008
88504,12200.0,2008
88505,19900.0,2008
88506,11240.0,2008
88507,256522.0,2009
88508,275144.0,2009
88509,256521.0,2009
88510,222569.0,2009
88511,256535.0,2009
88512,256611.0,2009
88513,256576.0,2009
88514,9480.0,2009
88515,17470.0,2008
88516,12770.0,2008
88517,17410.0,2009
88518,18500.0,2008
88519,16450.0,2009
88520,15400.0,2008
88521,18600.0,2007
88522,11340.0,2009
88523,25830.0,2005
88524,23460.0,2009
88525,10600.0,2009
88526,21010.0,2009
88527,22180.0,2007
88528,13210.0,2007
88529,12640.0,2009
88530,21600.0,2009
88531,27020.0,2008
88532,24740.0,2009
88533,90047.0,2009
88534,26000.0,2009
88535,26006.0,2009
88536,26005.0,2009
88537,11330.0,2009
88538,27800.0,2009
88539,9850.0,2009
88540,3600.0,2009
88541,29580.0,2006
88542,29540.0,2005
88543,29560.0,2006
88544,29570.0,2008
88545,23700.0,2009
88546,16060.0,2009
88547,1930.0,2009
88548,18470.0,2009
88549,7510.0,2009
88550,22200.0,2009
88551,26007.0,2009
88552,25900.0,2008
88553,16200.0,2009
88554,7840.0,2009
88555,8890.0,2005
88556,8880.0,2002
88557,34500.0,2009
88558,1280.0,2009
88559,10150.0,2009
88561,12470.0,2004
88562,22340.0,2006
88563,22330.0,2007
88564,22320.0,2002
88565,900883.0,2009
88566,12440.0,2007
88567,32710.0,1999
88568,32740.0,1998
88569,12460.0,2008
88570,21980.0,2009
88571,31860.0,2007
88572,31900.0,2006
88573,31920.0,2008
88574,31930.0,2007
88575,35800.0,2008
88576,12690.0,2009
88577,31170.0,2009
88578,21660.0,2009
88579,6080.0,2007
88580,6010.0,1992
88581,6090.0,2003
88582,6060.0,2005
88583,32310.0,1989
88584,32330.0,2008
88585,32360.0,2009
88586,35300.0,2008
88587,35310.0,2009
88588,31980.0,2009
88589,31990.0,2009
88590,10140.0,2006
88591,10100.0,2006
88592,10130.0,2007
88593,10110.0,2006
88594,1256.0,2009
88595,10120.0,2008
88596,33520.0,2009
88597,3610.0,2009
88598,21680.0,2008
88599,21670.0,2009
88600,21030.0,2009
88601,36000.0,2009
88602,32370.0,2003
88603,29180.0,2009
88604,38410.0,1998
88605,38420.0,2001
88606,38430.0,1999
88607,38440.0,2000
88608,35050.0,2009
88609,31180.0,2009
88610,37960.0,2009
88611,38000.0,2009
88612,37400.0,2009
88613,13570.0,2005
88614,11390.0,2009
88615,34420.0,2009
88616,43100.0,2009
88617,33730.0,2009
88618,35000.0,2009
88619,39392.0,2009
88620,39391.0,1999
88621,37600.0,2009
88622,24029.0,2009
88623,32140.0,2009
88624,31190.0,2009
88625,32770.0,2009
88626,208306.0,2009
88627,37300.0,2009
88628,208300.0,2009
88629,40300.0,2009
88630,35070.0,2009
88631,10606.0,2009
88632,40700.0,2009
88633,24840.0,2007
88634,24870.0,2009
88635,41500.0,2009
88636,24800.0,2009
88637,901735.0,2009
88638,42800.0,2009
88639,39560.0,2009
88640,39550.0,2009
88641,40330.0,2009
88642,40320.0,2009
88643,31200.0,2009
88644,3130.0,2009
88645,41100.0,2009
88646,39540.0,2009
88647,34640.0,2005
88648,34630.0,2003
88649,42200.0,2009
88650,41000.0,2009
88651,40340.0,2009
88652,17450.0,2009
88653,37100.0,2009
88654,37500.0,2009
88655,42810.0,2009
88656,10180.0,2009
88657,32440.0,2009
88658,11450.0,2007
88659,12710.0,2008
88660,24790.0,2007
88661,29120.0,2008
88662,24810.0,2009
88663,41800.0,2009
88664,45300.0,2009
88665,41900.0,2005
88666,35420.0,2009
88667,32430.0,2009
88668,25806.0,2009
88669,22370.0,2009
88670,41802.0,2009
88671,38080.0,2007
88672,38090.0,2008
88673,38100.0,2009
88674,38070.0,2009
88675,38210.0,2009
88676,45700.0,2008
88677,46410.0,2010
88678,38110.0,2009
88679,17570.0,2010
88680,38130.0,2008
88681,38160.0,2010
88682,38150.0,2009
88683,38120.0,2007
88684,38140.0,2009
88685,36300.0,2010
88686,36310.0,2010
88687,36320.0,2010
88688,37030.0,2010
88689,32450.0,2010
88690,34180.0,2010
88691,44100.0,2010
88692,25960.0,2010
88693,46250.0,2010
88694,38180.0,2007
88695,10695.0,2010
88696,41050.0,2001
88697,24055.0,2010
88698,48700.0,2010
88699,39900.0,2010
88700,49900.0,2010
88701,42120.0,2010
88702,12220.0,2010
88703,45730.0,2010
88704,45400.0,2010
88705,49600.0,2010
