año,juego,calificación
2010,Alien Swarm,4
2010,Dungeons of Dredmor,4
2010,Portal 2,4
2011,Team Fortress 2,49
2011,Portal 2,38
2011,Killing Floor,24
2012,Team Fortress 2,132
2012,Garry's Mod,62
2012,Counter-Strike: Global Offensive,55
2013,Team Fortress 2,510
2013,Garry's Mod,382
2013,Counter-Strike: Global Offensive,366
2014,Team Fortress 2,1881
2014,Counter-Strike: Global Offensive,1813
2014,Garry's Mod,1388
2015,Counter-Strike: Global Offensive,2561
2015,Team Fortress 2,1946
2015,Garry's Mod,1333
