id,recomendaciones
761140,"['Summoner', 'Trapped Summoner', ""I'm Lost"", 'Dungeon Defenders: Summoner Hero DLC', 'Kitty Cat: Jigsaw Puzzles']"
643980,"['Children of Zodiarcs', 'Infinity Wars: Animated Trading Card Game', 'Card Hunter', 'Faeria', 'Chronicle: RuneScape Legends']"
670290,"['3D Pool', 'Pure Pool', 'Pool Nation FX Lite', 'Virtual Pool 4', 'Pool Nation']"
767400,"['D.W.A.R.F.S.', 'Project: R.E.B.O.O.T 2', 'Project: R.E.B.O.O.T', 'Mighty Action RPG', 'Yeti Adventure']"
772540,"['SNOW - All Access Legend Pass', 'SNOW - All Access Pro Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Snow & Ice']"
774276,"['SNOW - All Access Legend Pass', 'SNOW - All Access Basic Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Snow & Ice']"
774277,"['SNOW - All Access Pro Pass', 'SNOW - All Access Basic Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Snow & Ice']"
774278,"['RACE On', 'Race Arcade', 'Race Arcade Original Soundtrack', 'Race & Destroy', 'Christmas Race']"
768800,"['Uncanny Valley - Soundtrack', 'Uncanny Valley Demo', 'Faraway Islands', 'Drift 7 Islands (survival)', 'Rising Islands - Soundtrack']"
768570,"['Army of Tentacles: (Not) A Cthulhu Dating Sim', 'Army of Tentacles: OST', 'Army of Tentacles: Winter of Steam', 'Army of Tentacles: Halloween', 'Army of Tentacles: Summer of Steam Items']"
770380,"['The Odyssey', 'Zen Garden', 'Zen of Sudoku', 'Caribbean Odyssey', 'Quell Zen']"
768880,"['The first thrust of God - All Aircrafts', 'Salt Thrust', 'God Simulator', 'The Sandbox', 'Vector Thrust']"
765320,"['SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Snow & Ice', 'SNOW - All Access Legend Pass', 'SNOW - All Access Pro Pass', 'Steam Starter Pack']"
773650,"['The first thrust of God', 'Salt Thrust', 'God Simulator', 'The Sandbox', 'Vector Thrust']"
774271,"['SNOW - Starter Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Snow & Ice', 'SNOW - All Access Legend Pass', 'SNOW - All Access Pro Pass', 'SNOW - All Access Basic Pass']"
773690,"['Fairy of the treasures', 'The Treasures of Montezuma 3', 'The Treasures of Montezuma 5', 'The Treasures of Montezuma 4', 'Dungeon Siege III: Treasures of the Sun']"
774279,"['RC Plane 3', 'RC Plane 3 - Stealth Plane', 'RC Plane 3 - Complete Edition', 'RC Plane 3 - Airbus', 'RC Plane 3 - F-53B']"
768060,"['Carmageddon: Max Damage', 'Carmageddon 2: Carpocalypse Now', 'Carmageddon TDR 2000', 'Grass Max', 'Max Stern']"
775880,"['Fallen Kingdom', 'Hero Siege - Dark Mage (Skin)', 'Talisman - Character Pack #8 - Apprentice Mage', 'Warlock 2 E-book: The Great Mage Game', 'Fallen Temple']"
775881,"['Age of Rivals', 'Faeria', 'Card Hunter', 'XenoShyft', 'The Witcher Adventure Game']"
653960,"['Twisted', 'Interplanetary: Enhanced Edition', 'Crappy Day Enhanced Edition', ""Aero's Quest"", 'Giana Sisters: Twisted Dreams']"
282010,"['Forever Home Soundtrack', 'Star Vikings Forever - Soundtrack', 'Battle Forever', 'TrackMania Nations Forever', 'Football Tactics Demo']"
70,"[""Santa's Christmas Solitaire"", 'Troubles Land', 'Santa Run', 'Happy Santa', 'Christmas Race']"
752360,"['Underdone', 'Soundtrack', 'Soundtrack', 'Game Soundtrack', 'V: Soundtrack']"
520680,"['Disciples II: Rise of the Elves', 'Disciples III: Reincarnation', 'Etherlords II', 'Hell', 'Blackguards 2']"
690410,"[""Disciples II: Gallean's Return"", 'Disciples III: Reincarnation', 'Disciples III - Resurrection', 'Fantasy Wars', 'Disciples III - Renaissance Steam Special Edition']"
766850,"['The Ship: Remasted', 'Murder Mystery Adventure', 'Hitman 2: Silent Assassin', 'Murder...', 'Hitman: Blood Money']"
413120,"['Antisquad', 'Napoleon: Total War™', 'Prodigy Tactics', 'Battle of the Bulge', 'Hartacon Tactics']"
773120,"['Gloria Victis', 'Project Genom', 'Grand Ages: Rome', 'Out of Reach', 'The Isle']"
754360,"['C-Wars', 'Forest Warrior', 'Dragon of Legends', 'Heckpoint', 'Pixel Fodder']"
716110,"['Experience', 'The Darkness', 'Of Light and Darkness', 'eXperience 112', 'Dark Maze']"
1640,"['Scooby Doo! & Looney Tunes Cartoon Universe: Adventure', 'Mighty Action RPG', 'The Garden', 'M.A.C.S.', 'Tales of Adventure 2']"
1630,"['HammerHelm', 'Project AURA', 'Anno Online', 'Spiritlands', 'Another Brick in the Mall']"
2400,"['M.A.C.S.', 'C.R.E.E.P.S', 'Soundtrack', 'Action Legion', 'Action Legion - Soundtrack']"
662570,"['Atomic Sky', 'Atomic 79', 'Atomic Reconstruction', 'Shadows of Adam OST', 'Adam and Eve: The Game - Chapter 1']"
381620,"['Mirt. Tales of the Cold Land. Chapter one', 'Tales of Inca - Lost Land', 'Tiles & Tales', 'Tales of Adventure 2', 'Tales of Escape - Cold As Ice']"
714020,"['Fallout 4', 'GUN™', 'Fallout 4 Season Pass', 'LOST PLANET® 3', 'Rogue Trooper']"
759920,"['BOID Single Player Campaign', 'Poker World - Single Player', 'Stratego - Single Player', 'Worms Ultimate Mayhem - Single Player Pack DLC', 'Space Ship Commander']"
659780,"['Just Cause 2: Multiplayer Mod', 'Synergy', 'Sven Co-op', 'Fistful of Frags', 'Arma II: DayZ Mod']"
603280,"['WTCC 2010 – Expansion Pack for RACE 07', 'Race', 'RACE On', 'Race Arcade', 'RaceRoom - WTCC 2014 Car Pack']"
753110,"['SUDOKU', 'Sudoku Quest', 'Color Sudoku', 'Fruit Sudoku🍉', 'Zen Garden']"
753100,"['Crazy Ball Adventures - Classic', 'Gumboy Tournament', 'Crazy Ball Adventures - Treasure', 'Crazy Ball Adventures', 'Crazy Forest']"
764280,"['Make it indie!', 'MAKE IT as an Artist', 'Make a word!', ""Don't Make Love"", 'Great Big War Game']"
758550,"['FlatOut', 'FlatOut: Ultimate Carnage', 'FlatOut 4: Total Insanity', 'Turbo Dismount™', 'Flatout 3: Chaos & Destruction']"
3800,"['FlatOut 2™', 'FlatOut: Ultimate Carnage', 'FlatOut 4: Total Insanity', 'Flatout 3: Chaos & Destruction', 'Crazy Taxi']"
1520,"['Lost Planet: Extreme Condition Colonies Edition', 'LOST PLANET® 3', 'Lost Planet® 2', 'Front Mission Evolved', 'Rogue Trooper']"
2420,"['Grand Ages: Rome', 'Grand Ages: Rome - Reign of Augustus', 'Caesar™ 3', 'Caesar™ IV', 'Ancient Rome 2']"
4000,"['Thief™ Gold', 'Thief: Deadly Shadows', 'Thief™ II: The Metal Age', 'DARK SOULS™ III - Season Pass', 'Risen']"
4230,"['Dreamfall: The Longest Journey', 'Syberia', 'Deponia: The Complete Journey', 'Dreamfall Chapters', 'Silence']"
4900,"['Civilization IV: Beyond the Sword', ""Sid Meier's Civilization IV: Colonization"", ""Sid Meier's Civilization V: Brave New World"", ""Sid Meier's Civilization® IV"", 'Stars in Shadow']"
2520,"['Railroad Tycoon II Platinum', ""Sid Meier's Railroads!"", 'RollerCoaster Tycoon® 3: Platinum', 'Railroad X', 'Train Valley']"
6200,"['Railroad Tycoon 3', 'Train Valley', 'SimCity™ 4 Deluxe Edition', 'A-Train PC Classic / みんなのA列車で行こうPC', 'RollerCoaster Tycoon® 3: Platinum']"
6210,"['Railroad Tycoon 3', 'Railroad X', 'Game Tycoon 1.5', 'Railroad Pioneer', 'Railroad Lines']"
6300,"['A Rip In Time', 'M.A.C.E.', 'Larva Mortus', 'Bit Bullet', 'Droid Assault']"
2990,"['X-COM: UFO Defense', 'Xenonauts', 'Antisquad', 'XCOM 2: War of the Chosen', 'Jagged Alliance 2 Gold']"
6220,"['Tomb Raider I', 'Tomb Raider: Underworld', 'Tomb Raider II', 'Tomb Raider III', 'Tomb Raider: Legend']"
6510,"['Devil May Cry 4', 'Devil May Cry® 4 Special Edition', 'DmC: Devil May Cry', 'Furi', 'Bayonetta']"
3980,"['Sam & Max: The Devil’s Playhouse', 'Sam & Max: Season Two', 'The Darkside Detective', 'Bear With Me', 'Space Shock 3']"
1700,"['DOOM II', 'Ultimate Doom', 'Master Levels for Doom II', 'DOOM 3', 'DOOM']"
6310,"['Night Vigil', 'Blood and Ice', 'Fantasy Grounds - Pathfinder RPG - Kingmaker AP 4: Blood for Blood (PFRPG)', 'REVENGE: First Blood', 'Blood and Gold Soundtrack']"
3990,"['Sam & Max: Season Two', 'Sam & Max 105: Reality 2.0', 'Sam & Max: The Devil’s Playhouse', 'Sam & Max 106: Bright Side of the Moon', 'Sam & Max 101: Culture Shock']"
7610,"['DOOM II', 'Final DOOM', 'Master Levels for Doom II', 'DOOM', 'DOOM 3']"
7600,"['Final DOOM', 'DOOM II', 'Ultimate Doom', 'DOOM 3', 'DOOM']"
