genres,app_name,tags,id
", ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",A House of Many Doors: Soundtrack,"['RPG', 'Indie']",587780.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",World of Cinema - Movie Tycoon,"['Simulation', 'Strategy', 'Indie', 'Casual']",344160.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, p, o, r, t, s, ', ",Football Manager Touch 2018 - No Work Permits,"['Simulation', 'Sports']",711741.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Trigonometry,"['Indie', 'Casual', 'Action', 'Arcade', 'Singleplayer', 'Difficult', '2D', 'Minimalist', 'Atmospheric', 'Runner']",749990.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ",Guise Of The Wolf,"['Indie', 'Werewolves', 'Adventure', 'Action', 'Puzzle', 'Survival', 'Stealth', 'Horror', 'Singleplayer', 'First-Person', 'Fantasy', 'Nudity']",259640.0
", ', S, i, m, u, l, a, t, i, o, n, ', ",2014 Edition Add-on - Masters of the World DLC,['Simulation'],278481.0
", ', A, c, t, i, o, n, ', ",DOA5LR Shrine Maiden Costume Set,['Action'],614020.0
", ', R, P, G, ', ",Citizens of Earth,"['RPG', 'Comedy', 'Turn-Based', 'Cartoony', '2D', 'Singleplayer', 'Retro', 'Indie', 'JRPG']",258910.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",Pigeon Fight,"['Indie', 'Casual', 'Local Multiplayer', 'Multiplayer', 'Simulation', 'Funny', 'Family Friendly']",520370.0
", ', A, c, t, i, o, n, ', ",Fate/EXTELLA - Black Bushin Super Skeleton,['Action'],626545.0
", ', A, c, t, i, o, n, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",PAYDAY: The Heist Soundtrack,"['Action', 'Indie', 'Casual', 'Great Soundtrack', 'Multiplayer']",207816.0
", ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', I, n, d, i, e, ', ",Without Within,"['Free to Play', 'Anime', 'Visual Novel', 'Indie', 'Female Protagonist', 'Short', 'Story Rich', 'Cute', 'Singleplayer']",345650.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ",Raid Mode: Parts Storage A,"['Action', 'Adventure']",320383.0
", ', A, c, t, i, o, n, ', ,,  , ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', I, n, d, i, e, ', ,,  , ', E, a, r, l, y,  , A, c, c, e, s, s, ', ",Rescue Bear Operation,"['Early Access', 'Free to Play', 'Indie', 'Action', 'Adventure', 'Casual', 'Family Friendly', 'Cute', 'Singleplayer', 'Education', 'Action-Adventure', 'Controller']",513210.0
", ', R, P, G, ', ",Stardust Pack,['RPG'],290406.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ",Super Helmets on Fire DX Ultra Edition Plus Alpha,"['Action', 'Indie', 'Platformer', 'Difficult', 'Pixel Graphics', 'Arcade', 'Retro']",429200.0
", ', R, P, G, ', ",Overlord™: Raising Hell,"['RPG', 'Action', 'Villain Protagonist', 'Fantasy', 'Third Person', 'Adventure', 'Singleplayer', 'Comedy', 'Strategy', 'Funny', 'Action RPG', 'Puzzle', 'Action-Adventure']",12710.0
", ', A, c, t, i, o, n, ', ",Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 1,['Action'],210072.0
", ', A, c, t, i, o, n, ', ",The Bureau: XCOM Declassified - Hangar 6 R&D,['Action'],66002.0
", ', A, d, v, e, n, t, u, r, e, ', ",Occultus - Mediterranean Cabal,"['Adventure', 'Hidden Object']",687760.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ",Flagsplosion,"['Casual', 'Indie', 'Education']",652340.0
", ', S, t, r, a, t, e, g, y, ', ",Cults and Daggers,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy']",333350.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, P, G, ', ",Official Guide - Asguaard,"['Adventure', 'RPG', 'Indie', 'Casual']",362950.0
", ', C, a, s, u, a, l, ', ",Trainz Trouble,"['Casual', 'Trains', 'Puzzle', 'Strategy']",319300.0
", ', A, c, t, i, o, n, ', ,,  , ', F, r, e, e,  , t, o,  , P, l, a, y, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Orcs Must Die! Unchained - Hero Bundle,"['Strategy', 'Action', 'Free to Play']",625030.0
", ', S, t, r, a, t, e, g, y, ', ",Total War: ROME II - Greek States Culture Pack,"['Strategy', 'Historical', 'Turn-Based Strategy', 'Rome', 'RTS', 'Turn-Based', 'Grand Strategy', 'Multiplayer']",212301.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Beholder - Blissful Sleep,"['Strategy', 'Indie', 'Violent', 'Adventure', 'Dystopian']",616950.0
", ', A, d, v, e, n, t, u, r, e, ', ,,  , ', C, a, s, u, a, l, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ","Libra of the Vampire Princess: Lycoris & Aoi in ""The Promise"" PLUS Iris in ""Homeworld""","['Adventure', 'Casual', 'Simulation', 'Visual Novel', 'Anime']",644680.0
", ', A, c, t, i, o, n, ', ,,  , ', I, n, d, i, e, ', ,,  , ', R, a, c, i, n, g, ', ,,  , ', S, p, o, r, t, s, ', ",Rocket League® - Aftershock,"['Racing', 'Indie', 'Action', 'Sports']",457195.0
", ', S, i, m, u, l, a, t, i, o, n, ', ,,  , ', S, t, r, a, t, e, g, y, ', ",Command LIVE - Pole Positions,"['Strategy', 'Simulation']",670700.0
", ', C, a, s, u, a, l, ', ,,  , ', I, n, d, i, e, ', ,,  , ', S, i, m, u, l, a, t, i, o, n, ', ",FourChords Guitar Karaoke,"['Music', 'Casual', 'Simulation', 'Education', 'Indie', 'Rhythm']",476930.0
